cluster_id,voxels,volume_mm3,peak_t,mean_t,peak_x,peak_y,peak_z,com_x,com_y,com_z,label,nifti
1,69292,554335.9999999999,63.36795176478492,7.788190006265072,-50.0,-56.0,-18.0,-25.991514171910183,-10.265109969404833,21.943196905847714,Frontal Pole,cluster_01.nii.gz
2,1700,13599.999999999996,-2.4111351196467097,-6.8928839039266245,-2.0,-40.0,-48.0,-7.910588235294114,-55.23058823529412,-41.718823529411765,unlabelled,cluster_02.nii.gz
3,40708,325663.99999999994,48.005883739580945,5.11132665726022,16.0,26.0,62.0,38.98589957747862,-11.156627689888964,16.590006878254883,Precentral Gyrus,cluster_03.nii.gz
4,392,3135.999999999999,-2.53477592733897,-8.477266843795867,34.0,-80.0,-42.0,35.85714285714286,-61.897959183673464,-47.734693877551024,unlabelled,cluster_04.nii.gz
