subject,ag_voxels
sub-1377,5
sub-823,416
sub-823,416
sub-968,2505
sub-968,65
sub-968,2566
sub-313,3
sub-313,3
sub-306,15
sub-306,15
sub-1392,198
sub-1392,198
sub-562,72
sub-562,72
sub-1175,8
sub-1175,8
sub-219,1746
sub-219,1746
sub-794,17
sub-794,17
sub-1660,527
sub-1660,527
sub-26,158
sub-26,158
sub-452,452
sub-452,452
sub-659,40
sub-659,40
sub-1422,2881
sub-1422,2881
sub-1736,2611
sub-1736,2611
sub-922,404
sub-922,404
sub-835,7
sub-835,7
sub-1372,102
sub-1372,102
sub-1215,432
sub-1215,432
sub-1272,5
sub-1272,5
sub-1265,6
sub-1265,6
sub-674,31
sub-674,498
sub-674,468
sub-844,68
sub-844,68
sub-1363,979
sub-1363,979
sub-1547,67
sub-1547,334
sub-1547,401
sub-1524,19
sub-1524,19
sub-1475,114
sub-1475,114
sub-768,54
sub-768,54
sub-1312,1239
sub-1312,1239
sub-791,3726
sub-791,2306
sub-791,6032
sub-1511,958
sub-1511,958
sub-98,59
sub-98,59
sub-1075,3347
sub-1075,3347
sub-713,97
sub-713,97
sub-1242,256
sub-1242,256
sub-360,2596
sub-360,375
sub-360,2971
sub-1656,2985
sub-1656,2985
sub-1091,156
sub-1091,156
sub-145,1495
sub-145,1495
sub-979,53
sub-979,53
sub-1055,814
sub-1055,814
sub-1130,136
sub-1130,136
sub-79,578
sub-79,578
sub-860,101
sub-860,101
sub-652,3326
sub-652,3326
sub-1686,342
sub-1686,342
sub-943,7
sub-943,7
sub-1571,723
sub-1571,723
sub-707,4040
sub-707,4040
sub-1396,24
sub-1396,24
sub-987,1025
sub-987,1057
sub-987,32
sub-62,1644
sub-62,1644
sub-330,1
sub-330,1
sub-1593,27
sub-1593,27
sub-858,22
sub-858,22
sub-377,8
sub-377,8
sub-1420,593
sub-1420,593
sub-1053,57
sub-1053,57
sub-305,2201
sub-305,2201
sub-1514,2
sub-1514,2
sub-970,87
sub-970,87
sub-262,5
sub-262,5
sub-1285,1565
sub-1285,1565
sub-358,103
sub-358,103
sub-1144,740
sub-1144,740
sub-230,59
sub-230,59
sub-100,360
sub-100,360
sub-1409,393
sub-1409,393
sub-1365,128
sub-1365,128
sub-942,1
sub-942,1
sub-704,361
sub-704,361
sub-1204,3689
sub-1204,3689
sub-368,35
sub-368,35
sub-198,194
sub-198,194
sub-1491,1
sub-1491,1
sub-1064,556
sub-1064,556
sub-123,1382
sub-123,1382
sub-359,697
sub-359,697
sub-1598,209
sub-1598,209
sub-1049,215
sub-1049,215
sub-521,3556
sub-521,3556
sub-1452,74
sub-1452,321
sub-1452,247
sub-1720,381
sub-1720,381
sub-1720,381
sub-146,894
sub-146,894
sub-1104,873
sub-1104,873
sub-1045,2932
sub-1045,2932
sub-1246,1256
sub-1246,1256
sub-33,3
sub-33,3
sub-774,34
sub-774,34
sub-116,1960
sub-116,1960
sub-533,2
sub-533,2
sub-381,2112
sub-381,428
sub-381,1685
sub-1401,31
sub-1401,31
sub-27,2350
sub-27,2350
sub-333,3070
sub-333,3070
sub-214,15
sub-214,15
sub-1034,103
sub-1034,103
sub-1239,2354
sub-1239,2354
sub-329,77
sub-329,77
sub-342,4777
sub-342,4777
sub-723,38
sub-723,38
sub-1648,1
sub-1648,1
sub-1154,4426
sub-1154,4426
sub-1305,1651
sub-1305,1651
sub-197,593
sub-197,593
sub-1715,2779
sub-1715,2779
sub-1,173
sub-1,228
sub-1,55
sub-1115,379
sub-1115,379
sub-1480,2962
sub-1480,2962
sub-1453,84
sub-1453,84
sub-908,536
sub-908,536
sub-1359,963
sub-1359,963
sub-395,397
sub-395,397
sub-70,15
sub-70,15
sub-1503,1827
sub-1503,1827
sub-122,79
sub-122,79
sub-1473,596
sub-1473,596
sub-676,27
sub-676,27
sub-1041,7010
sub-1041,7010
sub-1727,87
sub-1727,162
sub-1727,75
sub-1552,2687
sub-1552,2687
sub-1447,45
sub-1447,45
sub-341,1246
sub-341,1246
sub-458,2
sub-458,2
sub-856,346
sub-856,346
sub-761,4801
sub-761,4801
sub-688,132
sub-688,14
sub-688,146
sub-466,91
sub-466,91
sub-140,391
sub-140,391
sub-401,3418
sub-401,3418
sub-1488,37
sub-1488,37
sub-1567,32
sub-1567,32
sub-1206,716
sub-1206,716
sub-960,2528
sub-960,2528
sub-806,236
sub-806,236
sub-156,1552
sub-156,1552
sub-632,752
sub-632,752
sub-925,5
sub-925,5
sub-1122,56
sub-1122,56
sub-90,182
sub-90,182
sub-1481,112
sub-1481,117
sub-1481,5
sub-73,116
sub-73,116
sub-443,694
sub-443,694
sub-899,228
sub-899,228
sub-15,65
sub-15,65
sub-789,3355
sub-789,3355
sub-623,1
sub-623,1
sub-403,3012
sub-403,3012
sub-751,963
sub-751,963
sub-291,478
sub-291,478
sub-177,49
sub-177,49
sub-1313,26
sub-1313,26
sub-822,112
sub-822,112
sub-1326,105
sub-1326,105
sub-1035,121
sub-1035,121
sub-1298,1866
sub-1298,1866
sub-1306,954
sub-1306,954
sub-474,601
sub-474,601
sub-1704,82
sub-1704,82
sub-1013,4701
sub-1013,4701
sub-1509,14
sub-1509,14
sub-1427,840
sub-1427,840
sub-917,115
sub-917,115
sub-1067,12
sub-1067,12
sub-1590,301
sub-1590,162
sub-1590,142
sub-933,950
sub-933,950
sub-350,463
sub-350,463
sub-1317,2235
sub-1317,2235
sub-512,1897
sub-512,1897
sub-889,1582
sub-889,1582
sub-1195,425
sub-1195,425
sub-1701,31
sub-1701,31
sub-457,252
sub-457,252
sub-1244,2440
sub-1244,2288
sub-1244,210
sub-1140,142
sub-1140,142
sub-141,53
sub-141,53
sub-1410,1423
sub-1410,1423
sub-115,35
sub-115,35
sub-1107,698
sub-1107,698
sub-2,4452
sub-2,4452
sub-897,1
sub-897,1
sub-931,2847
sub-931,2847
sub-1163,17
sub-1163,17
sub-274,169
sub-274,169
sub-1466,7
sub-1466,7
sub-543,227
sub-543,227
sub-161,2147
sub-161,2147
sub-456,165
sub-456,165
sub-1260,17
sub-1260,183
sub-1260,166
sub-449,214
sub-449,214
sub-1680,153
sub-1680,153
sub-1446,2959
sub-1446,2959
sub-599,1082
sub-599,1082
sub-1697,1943
sub-1697,1943
sub-284,92
sub-284,92
sub-1569,1918
sub-1569,1918
sub-1301,101
sub-1301,101
sub-1374,17
sub-1374,17
sub-1674,1849
sub-1674,1849
sub-1132,162
sub-1132,162
sub-1132,162
sub-1612,40
sub-1612,40
sub-1642,6
sub-1642,6
sub-845,167
sub-845,167
sub-1582,82
sub-1582,82
sub-464,1989
sub-464,1989
sub-30,28
sub-30,28
sub-1310,1394
sub-1310,1394
sub-698,134
sub-698,134
sub-1073,5181
sub-1073,5181
sub-1683,90
sub-1683,90
sub-1412,999
sub-1412,7
sub-1412,1006
sub-348,14
sub-348,14
sub-650,2
sub-650,2
sub-462,3033
sub-462,3033
sub-215,89
sub-215,89
sub-384,566
sub-384,566
sub-7,10
sub-7,10
sub-1300,8
sub-1300,8
sub-1638,182
sub-1638,182
sub-247,3707
sub-247,3707
sub-589,3308
sub-589,3308
sub-1544,25
sub-1544,25
sub-382,6
sub-382,6
sub-1400,759
sub-1400,759
sub-557,42
sub-557,42
sub-1297,4464
sub-1297,4464
sub-721,319
sub-721,498
sub-721,179
sub-1186,319
sub-1186,319
sub-1358,3182
sub-1358,3182
sub-106,777
sub-106,777
sub-803,409
sub-803,409
sub-613,2647
sub-613,2647
sub-703,3
sub-703,3
sub-993,104
sub-993,104
sub-1622,6
sub-1622,6
sub-1463,816
sub-1463,816
sub-1639,831
sub-1639,831
sub-391,472
sub-391,472
sub-959,2670
sub-959,2670
sub-49,513
sub-49,513
sub-1070,1
sub-1070,1
sub-1355,843
sub-1355,5744
sub-1355,6582
sub-1411,143
sub-1411,143
sub-869,12
sub-869,12
sub-1556,11
sub-1556,11
sub-1525,774
sub-1525,774
sub-1018,119
sub-1018,119
sub-190,620
sub-190,620
sub-296,10
sub-296,10
sub-620,37
sub-620,37
sub-1213,5675
sub-1213,5675
sub-336,1630
sub-336,1630
sub-1603,15
sub-1603,15
sub-1189,455
sub-1189,455
sub-438,97
